כתובת,מהות הבקשה,pdf_url,תאריך,date_parsed,row_id,pdf_status,תאריך_הדפסה,מתאריך,עד_תאריך,שם_בעל_הרישיון,סיבת_הבקשה,סיבה_מילולית,ישוב,רחוב,מס,גוש,חלקה,מיני_עצים,מספרי_עצים,מספר_מינים_שחולצו
יום הכיפורים 33-38,כריתה,https://www.rehovot.muni.il/uploads/n/1757847258.6635.pdf,03/08/25 - 03/08/28,2028-08-03,יום הכיפורים 33-38|כריתה|https://www.rehovot.muni.il/uploads/n/1757847258.6635.pdf|03/08/25 - 03/08/28,http_200_no_text,,,,,,,,,,,,,,
יום הכיפורים,כריתה,https://www.rehovot.muni.il/uploads/n/1757847229.2289.pdf,03/08/25 - 03/08/28,2028-08-03,יום הכיפורים|כריתה|https://www.rehovot.muni.il/uploads/n/1757847229.2289.pdf|03/08/25 - 03/08/28,http_200_no_text,,,,,,,,,,,,,,
יום הכיפורים 33-38,העתקה,https://www.rehovot.muni.il/uploads/n/1753009545.6338.pdf,03/08/25 - 03/08/28,2028-08-03,יום הכיפורים 33-38|העתקה|https://www.rehovot.muni.il/uploads/n/1753009545.6338.pdf|03/08/25 - 03/08/28,http_200,20/07/2025,03/08/2025,03/08/2028,"אאורה מחדשים את ישראל בע""ת מ.ז.",בניה,"הקמת מבנה מגורים(תמ""",רחובות,יום הכיפורים,33-38,,"33-35,41,38-39,62","זית אירופי
פיקוס השדרות","1
4",2
הרצל 234,כריתה,https://www.rehovot.muni.il/uploads/n/1724573505.7855.pdf,08/09/24-08/09/27,2027-09-08,הרצל 234|כריתה|https://www.rehovot.muni.il/uploads/n/1724573505.7855.pdf|08/09/24-08/09/27,http_200,25/08/2024,08/09/24,08/09/27,מכון ויצמן למדע,בניה,הנחת תשתיות-בניין פיזיקה חדש,רחובות,הרצל,234,,,סופורה אמריקאית,1,1
פנחס מוקסיי 26,כריתה,https://www.rehovot.muni.il/uploads/n/1723098328.8401.pdf,22/08/24-22/08/27,2027-08-22,פנחס מוקסיי 26|כריתה|https://www.rehovot.muni.il/uploads/n/1723098328.8401.pdf|22/08/24-22/08/27,http_200,08/08/2024,22/08/24,22/12/24,בועז נתן,אחר,נזק לבנוי ולתשתיות תת קרקעיות,רחובות,פנסח מוקסיי,26,,136,אראוקריה רמה,1,1
"מנשה קפרא 21,23",כריתה,https://www.rehovot.muni.il/uploads/n/1723098160.4200.pdf,22/08/24-22/08/27,2027-08-22,"מנשה קפרא 21,23|כריתה|https://www.rehovot.muni.il/uploads/n/1723098160.4200.pdf|22/08/24-22/08/27",http_200,08/08/2024,22/08/24,22/08/27,"אבן ספיר חברה לבנייה בע""מ",בניה,הקמת מבנה מגורים,רחובות,מנשה קפרא,21,,792-793,"תות לבן
אראוקריה רמה
פיקוס בנימינה
מנגו הודי","1
2
1
1",4
שלום צעידי 2,העתקה,https://www.rehovot.muni.il/uploads/n/1722512100.9451.pdf,15/08/24-15/08/27,2027-08-15,שלום צעידי 2|העתקה|https://www.rehovot.muni.il/uploads/n/1722512100.9451.pdf|15/08/24-15/08/27,http_200,01/08/2024,15/08/24,15/08/27,א.ע אלימלך חברה לבניין ולפיתו,בניה,הקמת מבנה מגורים,רחובות,שלום צעידי,2,,466,זית אירופי,1,1
שלום צעידי 6,כריתה,https://www.rehovot.muni.il/uploads/n/1722510069.2260.pdf,15/08/24-15/08/27,2027-08-15,שלום צעידי 6|כריתה|https://www.rehovot.muni.il/uploads/n/1722510069.2260.pdf|15/08/24-15/08/27,http_200,01/08/2024,15/08/24,15/08/27,א.ע אלימלך חברה לבניין ולפיתו,בניה,הקמת מבנה מגורים,רחובות,שלום צעידי,6,,486,הדר התפוז,2,1
אלקלעי,כריתה,https://www.rehovot.muni.il/uploads/n/1721805589.6078.pdf,07/08/24-07/08/27,2027-08-07,אלקלעי|כריתה|https://www.rehovot.muni.il/uploads/n/1721805589.6078.pdf|07/08/24-07/08/27,http_200,24/07/2024,07/08/24,07/08/27,שנהב חן -חברה ליזמות פיקוח,בניה,הקמת מבנה מגורים,רחובות,אלקלעי,5,,221,"אלמוגן רחב-עלים
גרווילאה חסונה
גואיבה מצויה
אזדרכת מצויה","2
2
1
1",4
אלקלעי,העתקה,https://www.rehovot.muni.il/uploads/n/1721805577.1052.pdf,07/08/24-07/08/27,2027-08-07,אלקלעי|העתקה|https://www.rehovot.muni.il/uploads/n/1721805577.1052.pdf|07/08/24-07/08/27,http_200,24/07/2024,07/08/24,07/08/27,שנהב חן -חברה ליזמות פיקוח,בניה,הקמת מנה מגורים,רחובות,אלקלעי,,3694,221,זית אירופי,1,1
"דרך ירושלים 32, ביה""ס מדעים",העתקה,https://www.rehovot.muni.il/uploads/n/1721720029.8796.pdf,06/08/24-06/08/27,2027-08-06,"דרך ירושלים 32, ביה""ס מדעים|העתקה|https://www.rehovot.muni.il/uploads/n/1721720029.8796.pdf|06/08/24-06/08/27",http_200,23/07/2024,06/08/24,06/08/27,עיריית רחובות,בניה,תוספת בנייה לבית ספר קיים,רחובות,דרך ירושלים32,,3699,"445, 476","זית אירופי
חרוב מצוי
אלון התבור","9
5
3",3
"דרך ירושלים 32, ביה""ס מדעים",כריתה,https://www.rehovot.muni.il/uploads/n/1721720050.8413.pdf,06/08/24-06/08/27,2027-08-06,"דרך ירושלים 32, ביה""ס מדעים|כריתה|https://www.rehovot.muni.il/uploads/n/1721720050.8413.pdf|06/08/24-06/08/27",http_200,23/07/2024,06/08/24,06/08/27,עיריית רחובות,בניה,תוספת בנייה לבית ספר קיים,רחובות,דרך ירושלים32,,3699,"445, 476","ברוש מצוי
חרוב מצוי
מילה ירוקת-עד
אלה אטלנטית
הדר התפוז","1
2
3
1
1",5
מרבד הקסמים,כריתה,https://www.rehovot.muni.il/uploads/n/1721719932.2682.pdf,06/08/24-06/08/27,2027-08-06,מרבד הקסמים|כריתה|https://www.rehovot.muni.il/uploads/n/1721719932.2682.pdf|06/08/24-06/08/27,http_200,23/07/2024,06/08/24,06/08/27,עיריית רחובות,בניה,עבודות פיתוח והנחת תשתיות,רחובות,מרבד הקסמים,,4545,59,"ברכיכיטון אדרי
לגרסטרמיה הודית","4
1",2
ארלוזורוב 73,כריתה,https://www.rehovot.muni.il/uploads/n/1721021289.1608.pdf,29/07/24-29/07/27,2027-07-29,ארלוזורוב 73|כריתה|https://www.rehovot.muni.il/uploads/n/1721021289.1608.pdf|29/07/24-29/07/27,http_200,15/07/2024,29/07/24,29/07/27,ניר ברוך,בניה,הקמת מבני מגורים,רחובות,ארלוזורוב,73,,140,אזדרכת מצויה,1,1
הנביאים 5,כריתה,https://www.rehovot.muni.il/uploads/n/1721023512.4910.pdf,29/07/24-29/07/27,2027-07-29,הנביאים 5|כריתה|https://www.rehovot.muni.il/uploads/n/1721023512.4910.pdf|29/07/24-29/07/27,http_200,15/07/2024,29/07/24,29/07/27,צחור צחנובר גרשון,בניה,הקמת מבנה מגורים,רחובות,הנביאים,5,,518,"מנגו הודי
תות לבן","1
1",2
ישראל אהרוני 38,כריתה,https://www.rehovot.muni.il/uploads/n/1719982466.4447.pdf,16/07/24-16/07/27,2027-07-16,ישראל אהרוני 38|כריתה|https://www.rehovot.muni.il/uploads/n/1719982466.4447.pdf|16/07/24-16/07/27,http_200,02/07/2024,16/07/24,16/07/27,"רועי פרליס יזמות ומקרקעין בע""ת מ.ז.",בניה,הקמת מבנה מגורים,רחובות,ישראל אהרוני,38,,784,"מייש דרומי
פלפלון דמוי-אלה
אזדרכת מצויה
קליסטמון הנצרים
ברכיכיטון אדרי","1
2
2
1
1",5
שלום דהרי 9,כריתה,https://www.rehovot.muni.il/uploads/n/1706672869.1752.pdf,13/02/24-13/02/27,2027-02-13,שלום דהרי 9|כריתה|https://www.rehovot.muni.il/uploads/n/1706672869.1752.pdf|13/02/24-13/02/27,http_200,30/01/2024,13/02/24,13/02/27,עיריית רחובות,בניה,הקמת מוסד חינוכי,רחובות,שלום דהרי,9,,317,"פיקוס חלוד
ושינגטוניה חסונה
סיסם הודי
פיקוס השדרות","1
2
2
1",4
"מגרש 103 - תחמ""ש רחובות",כריתה,https://www.rehovot.muni.il/uploads/n/1707029755.3121.pdf,11/02/24-11/02/27,2027-02-11,"מגרש 103 - תחמ""ש רחובות|כריתה|https://www.rehovot.muni.il/uploads/n/1707029755.3121.pdf|11/02/24-11/02/27",http_200,28/01/2024,11/02/24,11/02/27,יוסי דגן,בניה,"הקמת תחמ""ש",רחובות,מגרש103,,3688,29,קריית הפקן,2,1
